"Save","Salvar"
"Delete Waypoint","Excluir Ponto de Entrega"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
Organizations,"Organizações"
"New Organization","Nova Organização"
"Edit Organization: %1","Editar Organização: %1"
"There was a problem creating the Organization in UBER","Houve um problema ao criar a Organização na UBER"
"The Organization has been saved.","A Organização foi salva."
"There was a problem saving the Organization","Houve um problema ao salvar a Organização"
"Order ID parameter is required","O parâmetro de ID do pedido é obrigatório"
"Shipment successfully canceled","Envio cancelado com sucesso"
"<b>Uber Cancellation ERROR:</b> %1","<b>Erro de Cancelamento da Uber:</b> %1"
"Uber Shipping Cancel ERROR: %1","Erro de Cancelamento do Envio da Uber: %1"
"<b>Uber Cancellation ID:</b> %1","<b>ID de Cancelamento da Uber:</b> %1"
"Shipment generated successfully","Envio gerado com sucesso"
"<b>Uber Shipping Create ERROR:</b> %1","<b>Erro de Criação de Envio da Uber:</b> %1"
"Uber Shipping Create ERROR: %1","Erro de Criação de Envio da Uber: %1"
"<b>Uber Shipping ID:</b> %1","<b>ID de Envio da Uber:</b> %1"
"Waypoints","Pontos de Entrega"
"New Waypoint","Novo Ponto de Entrega"
"Edit Waypoint: %1","Editar Ponto de Entrega: %1"
"The Waypoint has been saved.","O Ponto de Entrega foi salvo."
"There was a problem saving the Waypoint","Houve um problema ao salvar o Ponto de Entrega"
"The requested Order does not exist","O pedido solicitado não existe"
"This shipping method is not available. Please specify the zip code.","Este método de envio não está disponível. Por favor, especifique o código postal."
"This shipping method is not available","Este método de envio não está disponível"
"No estimates available for the address entered","Não há estimativas disponíveis para o endereço inserido"
"Uber Estimate ERROR: %1","Erro de Estimativa da Uber: %1"
"The cart contains items that cannot be shipped with Uber","O carrinho contém itens que não podem ser enviados com a Uber"
"-- Select --","-- Selecione --"
"-- Select Mode --","-- Selecione o Modo --"
Production,"Produção"
Sandbox,"Ambiente de Teste"
"-- Select Source --","-- Selecione a Origem --"
MSI,"MSI"
Signature,"Assinatura"
Barcodes,"Códigos de Barras"
"Pin Code","Código PIN"
"Identification","Identificação"
"Picture","Imagem"
"Google Maps","Google Maps"
"Nominatim (OpenStreetMap)","Nominatim (OpenStreetMap)"
"-- Select Billing --","-- Selecionar Cobrança --"
"Centralized","Centralizado"
"Decentralized","Descentralizado"
"-- Select Merchant --","-- Selecionar Comerciante --"
"Restaurant","Restaurante"
"Grocery","Mercado"
"Liquor","Licores"
"Retail","Varejo"
"Essentials","Essenciais"
"Pharmacy","Farmácia"
"Specialty Food","Alimentos Especiais"
"Flower","Flores"
"Pet Supply","Suprimentos para Animais de Estimação"
"-- Select Onboarding --","-- Selecionar Onboarding --"
"Do not send instructions","Não enviar instruções"
"Send instructions","Enviar instruções"
"Use Root Organization","Usar Organização Raiz"
"Use Base Organization","Usar Organização Base"
"Admin","Administrador"
"Employee","Funcionário"
"Small","Pequeno"
"Medium","Médio"
"Large","Grande"
"Xlarge","Muito Grande"
"No Available","Indisponível"
"The preparation point is outside working hours","O ponto de preparação está fora do horário de trabalho"
"Could not save the OrderShipment: %1","Não foi possível salvar o Envio de Pedido: %1"
"Requested OrderShipment doesn't exist","O Envio de Pedido solicitado não existe"
"Unable to Delete OrderShipment %1","Não é possível excluir o Envio de Pedido %1"
"Could not save the Organization: %1","Não foi possível salvar a Organização: %1"
"Requested Organization doesn't exist","A Organização solicitada não existe"
"Unable to Delete Organization %1","Não é possível excluir a Organização %1"
"Could not save the Token: %1","Não foi possível salvar o Token: %1"
"Requested Token doesn't exist","O Token solicitado não existe"
"Unable to Delete Token %1","Não é possível excluir o Token %1"
"An error occurred while validating/generating token","Ocorreu um erro ao validar/gerar o token"
"ERROR: Generate Uber Organization: %1","ERRO: Gerar Organização Uber: %1"
"ERROR: Uber Delivery Quote Request %1","ERRO: Solicitação de Cotação de Entrega Uber %1"
"ERROR: Uber Delivery Quote Response %1","ERRO: Resposta de Cotação de Entrega Uber %1"
"Uber Delete Expired Token ERROR: %1","ERRO: Excluir Token Expirado Uber: %1"
"ERROR: Get Street Coords: %1","ERRO: Obter Coordenadas de Rua: %1"
"ERROR: Get AccessToken: %1","ERRO: Obter AccessToken: %1"
"Missing Organization","Organização Ausente"
"Could not save the Waypoint: %1","Não foi possível salvar o Ponto de Entrega: %1"
"Requested Waypoint doesn't exist","O Ponto de Entrega solicitado não existe"
"Unable to Delete Waypoint %1","Não é possível excluir o Ponto de Entrega %1"
"UBER ERROR LOG SalesOrderSaveAfter: %1","LOG DE ERRO UBER SalesOrderSaveAfter: %1"
"Request Driver","Solicitar Motorista"
"Cancel Driver","Cancelar Motorista"
"Re Request Driver","Re-chamar Motorista"
"Uber Order View Toolbar ERROR: %1","ERRO na Barra de Ferramentas da Visualização de Pedido Uber: %1"
"Shipping With Uber","Envio com Uber"
"Uber Product Size","Tamanho do Produto Uber"
"Uber Product Width","Largura do Produto Uber"
"Expressed in centimeters","Expresso em centímetros"
"Uber Product Height","Altura do Produto Uber"
"Uber Product Depth","Profundidade do Produto Uber"
"Click here to validate address with Uber","Clique aqui para validar o endereço com a Uber"
"Field ","Campo "
" is required."," é obrigatório."
"Waypoint was deleted","O Ponto de Entrega foi excluído"
"The Waypoint you are trying to delete does not exist","O Ponto de Entrega que você está tentando excluir não existe"
"There was a problem deleting the Waypoint","Houve um problema ao excluir o Ponto de Entrega"
"Uber Direct","Uber Direct"
"Configuration","Configuração"
"Delivery Method","Método de Entrega"
"Manage Organizations","Gerenciar Organizações"
"<span class=""uber-brand"">Uber</span> Uber Configuration","<span class=""uber-brand"">Uber</span> Configuração Uber"
"Customer ID","ID do Cliente"
"Client ID","ID do Cliente"
"Client Secret","Segredo do Cliente"
"Enabled","Ativado"
"Integration Mode","Modo de Integração"
"Debug Mode","Modo de Depuração"
"Warehouse","Armazém"
"Free Shipping","Frete Grátis"
"Verification Type","Tipo de Verificação"
"Identification min age","Idade mínima para Identificação"
"Cash on Delivery","Dinheiro na Entrega"
"Automatic Status Update","Atualização Automática de Status"
"Webhook Signing Key","Chave de Assinatura de Webhook"
"Window Delivery","Entrega Agendada"
"Title","Título"
"Description","Descrição"
"Sort Order","Ordem de Classificação"
"Show Method if Not Applicable","Mostrar Método se Não Aplicável"
"Product Width Attribute","Atributo de Largura do Produto"
"Product Height Attribute","Atributo de Altura do Produto"
"Product Depth Attribute","Atributo de Profundidade do Produto"
"Automatic Shipment Generation","Geração Automática de Envio"
"Status for automatic shipping creation","Status para criação automática de envio"
"Organization","Organização"
"Monday Opening","Abertura na segunda-feira"
"Monday Closing","Fechamento na segunda-feira"
"Tuesday Opening","Abertura na terça-feira"
"Tuesday Closing","Fechamento na terça-feira"
"Wednesday Opening","Abertura na quarta-feira"
"Wednesday Closing","Fechamento na quarta-feira"
"Thursday Opening","Abertura na quinta-feira"
"Thursday Closing","Fechamento na quinta-feira"
"Friday Opening","Abertura na sexta-feira"
"Friday Closing","Fechamento na sexta-feira"
"Saturday Opening","Abertura no sábado"
"Saturday Closing","Fechamento no sábado"
"Sunday Opening","Abertura no domingo"
"Sunday Closing","Fechamento no domingo"
"Back","Voltar"
"Save Organization","Salvar Organização"
"Organization Information","Informações da Organização"
"Active","Ativo"
"Organization Id","ID da Organização"
"This field is automatically completed when creating the organization","Este campo é preenchido automaticamente ao criar a organização"
"Organization Name","Nome da Organização"
"Billing Type","Tipo de Cobrança"
"Merchant Type","Tipo de Comerciante"
"Email","E-mail"
"Onboarding","Onboarding"
"Phone Country Code","Código de País do Telefone"
"Phone Number","Número de Telefone"
"Address Data","Dados de Endereço"
"Street","Rua"
"The street detail if needed, for example 2000 Tustin Ave.","Detalhe da rua, se necessário, por exemplo, 2000 Tustin Ave."
"Postcode / Zipcode","CEP"
"Additional Street","Rua Adicional"
"Additional street detail if needed","Detalhe da rua adicional, se necessário"
"City","Cidade"
"The city detail for the address, for example “Irvine”","Detalhe da cidade no endereço, por exemplo, “Irvine”"
"State","Estado"
"The state detail for the address, for example “CA” for California","Detalhe do estado no endereço, por exemplo, “CA” para Califórnia"
"Country","País"
"Add Organization","Adicionar Organização"
"Marchant cancelled","Cancelado pela Loja"
"Courier doesn't have a safe area to deliver the product","Entregador não encontrou uma área segura para finalizar a entrega do produto"
"Customer wasn't available to receive the delivery","Cliente não estava disponível para receber a entrega"
"Customer refused to receive the delivery","Cliente rejeitou receber a entrega"
"Courier can't find the correct Customer's address","Entregador não conseguiu encontrar o endereço correto do cliente"
"The Customer's address is wrong","Endereço do cliente está errado"
"The Customer's dropoff location is not in an accessible area","Endereço do cliente está em uma área não acessível"
"The Customer isn't sober to receive the delivery","Cliente não está sóbrio para receber a entrega"
"The Customer's ID doesn't match with the one required","O ID do cliente não bate com o requerido"
"The Customer is not overage to receive the delivery","Cliente não é maior de idade para receber a entrega"
"Courier waited until the timeout to deliver the product","Entregador aguardou o tempo total mas o cliente não apareceu para receber a entrega"
"Courier wasn't able to find the pickup point","Entregador não encontrou a loja para retirar o produto"
"Merchant store was closed","A loja estava fechada"
"Merchant refused to deliver the product","Loja recusou entregar o produto"
"Items too big to complete the pickup","Itens muito grandes para realizar a retirada"
"Other reasons","Outros motivos"
"Items were lost in the return trip process","Os itens foram perdidos durante a viagem de retorno"
"Uber Cancellation","Cancelado pela Uber"
"Uber tried to allocate a courier but the delivery reached timeout","Tempo de tentativa de alocação de entregador excedido na região"
"Uber wasn't able to allocate a courier to complete the delivery","Não foi possível alocar um entregador na região"
"Uber internal operational issues","Problemas Internos"
"Courier was involved in an accident","O entregador acidentou-se"
"Customer cancelled","Cancelado pelo cliente final"
"Cancelled party not detected","Cancelamento desconhecido"
"Uber Notification","Notificação Uber"
"<b>Canceled shipment:</b> %1","<b>Envio cancelado:</b> %1"
"Delivery status has changed to <b>%1</b>","O status da entrega foi alterado para <b>%1</b>"
"<b>Driver Name:</b> %1","<b>Nome do Motorista:</b> %1"
"<b>Vehicle Type:</b> %1","<b>Tipo de Veículo:</b> %1"
"<b>Pickup estimated time:</b> %1","<b>Tempo estimado de coleta:</b> %1"
"<b>Dropoff estimated time:</b> %1","<b>Tempo estimado de entrega:</b> %1"
"The specified location is not in a deliverable area.","Esta localidade está fora do raio de entrega"
"We have experienced a problem.","Erro interno"
"The pickup ready time cannot be in the past.","Início da janela de retirada não pode ser no passado"
"The dropoff deadline needs to be at least 20 minutes after the dropoff ready time.","Janela de entrega muito curta, ela deverá ter duração de pelo menos 20 minutos"
"The dropoff deadline needs to be after the pickup deadline.","O fim da janela de entrega deve ser antes do fim da janela de retirada"
"Your account is not allowed to create Cash deliveries. Please contact Uber for support.","Produto Cash não está permitido para esta conta"
"The specified location was not understood.","Endereço não reconhecido"
"Invalid OAuth 2.0 credentials provided.","Falha de autenticação OAuth 2.0"
"The pickup window needs to be at least 10 minutes long.","Janela de retirada muito curta, ela deverá ter uma duração de pelo menos 10 minutos"
"The pickup deadline time needs to be at least 15 minutes from now.","O fim da janela de retirada muito curta, ela deverá ser pelo menos 15 minutos após a requisição"
"The price quote specified has been used.","O valor desta cotação já foi utilizado"
"organization has no billing policy","Organização não tem crédito aprovado"
"The price quote specified has expired.","O preço da cotação foi expirado"
"cannot determine pickup address","Não foi possível identificar o endereço da loja"
"Phone number is not valid","Telefone do cliente final inválido"
"undeliverable_action is not compatible with requested Signature or ID requirements","Ação de falha na entrega (undeliverable_action) não é compatível com as verificações de entrega requeridas Assinatura ou ID"
"delivery location changed","Endereço da cotação não bate com endereço da entrega"
"This field is required","Endereço do cliente é um campo obrigatório"
"dropoff_notes limit is 280 characters","Observações de entrega estourou o limite de caracteres (280)"
"Pickup Address and provided Long/Lat distance too far","Lat/long de retirada e o endereço da loja estão muito distantes"
"pickup_notes limit is 280 characters","Observações de retirada estourou o limite de caracteres (280)"
"One of the item exceeds max weight of 23000 grams","Um dos itens excedeu o peso limite de 23kg"
"quantity value is missing or non-positive","Campo quantidade faltando ou negativo"
"unable to resolve provided address through geocoding","Falha ao geolocalizar o endereço"
"weight value should be positive","Peso do item deve ser positivo"
"weight is required when dimensions(length, depth, height) are provided","Peso do item deve ser enviado junto com as dimensões"
"invalid dropoff contact","Telefone do cliente final inválido"
"your application is now blocked due to an outstanding balance. Please reach out to directbilling-group@uber.com to resolve","Integração bloqueada por problemas financeiros"
"duplicate_delivery","Pedido duplicado"
"Could not parse json","Erro de estrutura do JSON"
"dropoff phone number is not valid.","O número de telefone de entrega não é válido"
"A ordem foi entregue em %1", "A ordem foi entregue em %1"
"<b>Detalhes de Verificação</b>", "<b>Detalhes de Verificação</b>"
"Método: <b>%1</b>", "Método: <b>%1</b>"
"Nome do Assinante: <b>%1</b>", "Nome do Assinante: <b>%1</b>"
"Relação do Assinante: <b>%1</b>", "Relação do Assinante: <b>%1</b>"
"Visualizar Assinatura", "Visualizar Assinatura"
"Assinatura", "Assinatura"
"Prova de Entrega", "Prova de Entrega"
"Método de Verificação: ", "Método de Verificação: "
"Uber Prova de Entrega","Uber Prova de Entrega"
"Description Outside Business Hours","Descrição Fora do horário comercial"
"The goal of this field is to inform the customer that they will receive their purchase the next business day.","O objetivo deste campo é informar ao cliente que ele receberá sua compra no próximo dia útil."
